merchant_id,transaction_velocity,avg_transaction_value,refund_rate,chargeback_rate,business_age_days,category_mismatch_score,night_txn_ratio,unique_customer_ratio,geographic_spread,incomplete_profile_score,label
M-01073,63.494,533.4732,0.0301,0.0111,459,0.051,0.0662,0.7237,5,0.0491,0
M-01074,63.8695,713.9758,0.0759,0.0147,209,0.0716,0.1123,0.5383,4,0.124,0
M-01075,31.4134,863.1486,0.057,0.0035,1381,0.1135,0.0681,0.7243,1,0.0137,0
M-01076,48.5493,1027.7591,0.0362,0.0112,420,0.0675,0.0742,0.4161,5,0.0312,0
M-01077,90.3955,577.9291,0.0571,0.0015,617,0.1414,0.0801,0.571,6,0.0392,1
M-01078,59.1028,837.5988,0.0631,0.0136,974,0.0018,0.0583,0.5985,2,0.031,0
M-01079,68.7926,1093.0082,0.0305,0.0142,886,0.1161,0.0583,0.5487,1,0.1005,0
M-01080,36.439,814.6998,0.0228,0.0042,241,0.008,0.0645,0.5999,5,0.0616,1
M-01081,57.8321,742.3125,0.0337,0.001,920,0.1384,0.074,0.4458,2,0.0577,0
M-01082,41.9801,1573.0152,0.1016,0.0223,131,0.083,0.1259,0.7224,8,0.311,1
M-01083,97.8966,83.9351,0.0456,0.0127,892,0.0173,0.0755,0.2598,1,0.114,0
M-01084,21.9539,1191.2143,0.0323,0.0136,30,0.0257,0.0396,0.5726,1,0.075,0
M-01085,82.475,1112.8522,0.0575,0.0019,1072,0.1194,0.0072,0.503,2,0.0654,0
M-01086,48.5591,965.2606,0.0559,0.0039,1161,0.0093,0.0837,0.7132,1,0.11,0
M-01087,50.8883,1496.4786,0.0339,0.0127,1108,0.1182,0.0842,0.9211,4,0.1448,0
M-01088,101.4462,924.3791,0.0512,0.0179,860,0.257,0.1623,0.5414,8,0.2536,1
M-01089,28.5027,752.0057,0.0172,0.0015,1186,0.0952,0.0509,0.3832,2,0.1176,0
M-01090,17.0782,1126.5357,0.0716,0.0072,609,0.2092,0.0057,0.7986,7,0.2876,1
M-01091,42.0425,882.2333,0.0624,0.0082,657,0.0359,0.0626,0.2631,6,0.0241,0
M-01092,57.1075,706.7768,0.0351,0.0011,30,0.1465,0.1018,0.8635,1,0.0362,0
M-01093,48.5167,799.2632,0.0455,0.0018,944,0.0926,0.1377,0.5981,4,0.0289,0
M-01094,47.1449,1173.0544,0.0629,0.0067,422,0.108,0.0425,0.6935,1,0.0727,0
M-01095,1.0,840.229,0.0807,0.017,235,0.3021,0.109,0.566,9,0.0735,1
M-01096,64.9486,721.3058,0.0291,0.0074,823,0.0016,0.0598,0.4272,1,0.0011,0
M-01097,66.3315,577.0931,0.0489,0.0036,301,0.0524,0.0281,0.8315,4,0.1215,0
M-01098,64.3891,890.6015,0.041,0.0042,1332,0.098,0.0848,0.4654,3,0.045,0
M-01099,20.1865,758.3143,0.0164,0.0078,524,0.081,0.0753,0.6345,4,0.0386,0
M-01100,37.5968,1041.6031,0.075,0.0022,897,0.0422,0.0776,0.3753,7,0.0957,1
M-01101,58.201,1250.1657,0.0174,0.0043,744,0.1019,0.0834,0.5308,3,0.1021,0
M-01102,50.2942,685.7777,0.0154,0.0113,1078,0.0083,0.0737,0.6786,5,0.0494,0
M-01103,19.7473,852.6852,0.104,0.01,50,0.0886,0.179,0.6002,9,0.136,1
M-01104,46.6855,503.0753,0.0245,0.0129,730,0.0399,0.105,0.6098,4,0.1434,0
M-01105,76.4818,997.8959,0.0708,0.0061,706,0.134,0.1187,0.6794,5,0.0388,0
M-01106,78.2174,192.6238,0.0738,0.0042,392,0.1026,0.1106,0.3024,7,0.0666,0
M-01107,44.9437,700.6114,0.0228,0.0022,30,0.139,0.0618,0.3392,7,0.0821,0
M-01108,64.8117,809.7852,0.0958,0.0225,199,0.0822,0.2628,0.8379,9,0.3027,1
M-01109,44.1773,745.8441,0.032,0.0144,554,0.0454,0.1598,0.6463,3,0.0506,0
M-01110,28.6728,390.5394,0.0456,0.01,754,0.1277,0.1433,0.7722,3,0.0935,0
M-01111,48.926,303.7719,0.0657,0.0036,1238,0.0964,0.0766,0.2515,7,0.0923,0
M-01112,135.8554,1222.9123,0.0422,0.0224,657,0.0605,0.1519,0.8945,4,0.1139,1
M-01113,40.6277,850.4857,0.0371,0.0091,841,0.0728,0.0319,0.3627,5,0.0869,0
M-01114,75.1174,1241.8217,0.0644,0.0108,932,0.1096,0.0647,0.5025,4,0.085,0
M-01115,39.2134,697.2719,0.0157,0.0013,736,0.1167,0.0723,0.7083,2,0.0494,1
M-01116,46.0566,913.1101,0.017,0.0094,881,0.1353,0.0957,0.4519,3,0.0179,0
M-01117,65.5867,871.646,0.0431,0.011,572,0.0293,0.083,0.5439,1,0.0993,0
M-01118,38.1122,297.4307,0.0652,0.0141,804,0.0352,0.1038,0.732,2,0.1365,0
M-01119,59.2551,538.6026,0.0245,0.0033,219,0.0245,0.0749,0.2689,7,0.0195,0
M-01120,47.4058,477.326,0.0129,0.0051,383,0.075,0.0989,0.5004,5,0.0036,0
M-01121,67.5909,855.8375,0.0329,0.0138,1015,0.0236,0.0858,0.4201,2,0.0067,0
M-01122,28.7763,1320.3351,0.0885,0.0231,821,0.1819,0.1119,0.5811,5,0.2355,1
M-01123,32.8554,1021.3538,0.0701,0.0074,735,0.0323,0.1034,0.5647,1,0.1459,0
M-01124,24.1129,884.0368,0.0785,0.0104,592,0.0398,0.0736,0.3597,1,0.1126,0
M-01125,42.4361,797.1867,0.0695,0.0104,211,0.0746,0.1309,0.6944,2,0.1166,1
M-01126,44.6249,1209.7899,0.0642,0.0061,173,0.1437,0.1041,0.4421,2,0.1123,0
M-01127,30.6738,772.2297,0.0338,0.024,499,0.224,0.1649,0.7149,6,0.0642,1
M-01128,21.0849,686.9179,0.0799,0.0138,1339,0.0086,0.1085,0.7831,3,0.1174,1
M-01129,62.6298,1055.9703,0.0473,0.0073,786,0.0957,0.0751,0.4636,2,0.0975,0
M-01130,55.7613,1079.3169,0.071,0.0215,494,0.2806,0.1553,0.7476,1,0.1442,1
M-01131,58.5859,805.1916,0.0219,0.0119,214,0.0652,0.0818,0.5426,1,0.0717,0
M-01132,52.921,203.8808,0.0674,0.015,693,0.0935,0.0682,0.4182,3,0.0241,0
M-01133,46.8601,1071.9026,0.0539,0.0022,491,0.066,0.1171,0.6205,3,0.0159,0
M-01134,80.2291,728.5614,0.0672,0.0068,870,0.0546,0.0594,0.642,7,0.0259,0
M-01135,1.8741,1131.9375,0.0532,0.0188,376,0.1396,0.1654,0.7305,7,0.1947,1
M-01136,78.2397,409.4227,0.088,0.0067,259,0.154,0.0739,0.5873,3,0.0618,1
M-01137,51.8462,845.3585,0.0304,0.0122,1293,0.0997,0.0662,0.4436,3,0.1342,0
M-01138,48.654,653.2937,0.0614,0.0131,500,0.0845,0.1407,0.8477,3,0.0145,0
M-01139,90.8025,747.1363,0.0234,0.0021,626,0.1301,0.1183,0.6635,3,0.1248,1
M-01140,63.9969,983.4688,0.0424,0.012,1038,0.0568,0.041,0.4636,2,0.0674,0
M-01141,54.0394,1106.0047,0.0504,0.0011,785,0.1364,0.0247,0.7661,6,0.0677,0
M-01142,1.0,917.626,0.0396,0.0237,792,0.2165,0.0851,0.7266,7,0.1445,1
M-01143,55.6946,704.2964,0.0194,0.0103,1062,0.0583,0.056,0.1,6,0.0568,1
M-01144,5.2282,526.6113,0.0502,0.0162,1100,0.2196,0.1308,0.8014,4,0.3006,0
M-01145,52.7707,570.0682,0.0544,0.0145,1482,0.0748,0.0597,0.2613,3,0.0239,0
M-01146,63.6704,1254.7537,0.0507,0.0101,520,0.0104,0.0388,0.4691,6,0.09,0
M-01147,81.8716,1206.7679,0.0425,0.0136,645,0.0965,0.0635,0.5806,5,0.0318,1
M-01148,70.8251,1391.6723,0.0241,0.0122,318,0.0085,0.1137,0.6929,7,0.0444,0
M-01149,33.3205,1196.802,0.0179,0.014,764,0.0728,0.0925,0.4452,2,0.0851,0
M-01150,57.6175,496.2675,0.0694,0.0137,783,0.0026,0.0731,0.5755,7,0.1384,0
M-01151,28.8978,766.4881,0.0234,0.0029,591,0.0755,0.1126,0.5999,7,0.0053,0
M-01152,61.6245,675.617,0.0948,0.0099,1222,0.1169,0.1513,0.5239,9,0.1401,1
M-01153,78.5023,702.7266,0.082,0.0172,1279,0.0732,0.0295,0.9475,5,0.3474,1
M-01154,47.9854,1223.0217,0.0558,0.0011,234,0.1088,0.0908,0.5536,4,0.1207,0
M-01155,42.9579,703.5178,0.0701,0.003,1264,0.1003,0.1104,0.4702,7,0.1193,0
M-01156,57.624,637.7343,0.013,0.0078,195,0.0964,0.0928,0.3649,7,0.0919,0
M-01157,37.4411,992.8721,0.0104,0.0049,618,0.1309,0.0858,0.5578,1,0.071,0
M-01158,67.891,1117.9565,0.0659,0.0144,444,0.1456,0.064,0.8812,4,0.0216,0
M-01159,53.8982,394.3268,0.0176,0.0073,1012,0.1456,0.12,0.5723,7,0.1372,0
M-01160,32.1588,581.3937,0.0163,0.0086,974,0.077,0.1354,0.6991,5,0.012,0
M-01161,40.9577,345.7389,0.0265,0.0121,1674,0.1051,0.0618,0.8222,4,0.0731,0
M-01162,60.1223,872.7085,0.0515,0.0058,759,0.0889,0.0722,0.5809,7,0.0737,0
M-01163,49.0379,894.8794,0.0753,0.0043,164,0.0908,0.0567,0.9439,7,0.0754,0
M-01164,55.1967,1188.3341,0.0105,0.0012,858,0.0609,0.0537,0.6142,2,0.0043,0
M-01165,59.0618,1032.3843,0.0323,0.0094,495,0.0897,0.0951,0.3474,5,0.0632,0
M-01166,57.4105,952.4981,0.0245,0.005,1054,0.1013,0.1036,0.3254,3,0.0782,0
M-01167,33.9179,684.0468,0.0597,0.0116,1234,0.0345,0.061,0.4712,7,0.0079,0
M-01168,66.2404,1253.9715,0.0601,0.0062,525,0.0182,0.0774,0.7749,3,0.1184,1
M-01169,42.6255,673.8654,0.0354,0.0101,520,0.1058,0.0447,0.6096,3,0.1264,0
M-01170,30.6106,844.0245,0.0164,0.0107,773,0.032,0.0665,0.7546,2,0.1405,0
M-01171,57.6309,741.6972,0.0291,0.0105,619,0.0048,0.137,0.3748,5,0.1453,0
M-01172,66.2265,1149.1178,0.0743,0.0093,612,0.0628,0.0844,0.4317,3,0.1036,0
M-01173,46.9008,615.2226,0.0429,0.0127,1069,0.1225,0.0317,0.4754,4,0.1145,0
M-01174,27.2721,1238.4957,0.0198,0.0105,917,0.1313,0.1058,0.5673,7,0.1447,0
M-01175,45.6794,845.3311,0.033,0.0049,822,0.0444,0.0829,0.3295,7,0.0496,0
M-01176,103.5421,846.6116,0.0723,0.0219,201,0.1677,0.069,0.6098,4,0.247,1
M-01177,62.2325,695.165,0.0626,0.0012,1053,0.0137,0.0714,0.5033,4,0.0991,0
M-01178,44.2203,959.1912,0.0492,0.0038,775,0.1372,0.1006,0.4644,3,0.0892,0
M-01179,47.4677,552.2266,0.0252,0.008,949,0.0676,0.1224,0.6537,6,0.0015,0
M-01180,124.5581,1225.3516,0.0985,0.0155,1006,0.145,0.1011,0.6611,3,0.2874,1
M-01181,42.1063,407.1212,0.0128,0.013,656,0.1109,0.0688,0.4143,6,0.0183,0
M-01182,44.1253,1081.4205,0.0538,0.0045,242,0.0936,0.0701,0.6507,3,0.1308,0
M-01183,28.7694,399.9334,0.0482,0.0123,1258,0.0602,0.0921,0.6852,7,0.023,0
M-01184,48.568,590.806,0.0286,0.0036,970,0.049,0.0953,0.6322,4,0.145,0
M-01185,45.5378,524.2757,0.0389,0.003,353,0.1046,0.1044,0.5821,1,0.058,0
M-01186,59.0464,1148.3055,0.0519,0.0026,484,0.0033,0.088,0.611,1,0.1364,0
M-01187,39.0788,892.6133,0.0108,0.0142,845,0.1048,0.0098,0.5121,1,0.1053,0
M-01188,59.5789,900.4046,0.0736,0.008,611,0.1162,0.0282,0.4916,5,0.0224,0
M-01189,37.8559,628.786,0.0624,0.0108,436,0.1178,0.0554,0.4998,2,0.0491,0
M-01190,33.0642,677.0741,0.0139,0.001,1148,0.1482,0.071,0.7013,5,0.1019,0
M-01191,50.1182,872.159,0.0531,0.0128,594,0.1236,0.074,0.5665,1,0.0128,0
M-01192,43.8167,973.4697,0.0231,0.0126,529,0.0,0.095,0.4634,4,0.0856,0
M-01193,25.2857,1104.2602,0.049,0.0183,30,0.1672,0.0163,0.656,10,0.151,1
M-01194,59.5313,805.7979,0.0374,0.0045,30,0.0865,0.0808,0.6577,1,0.1464,0
M-01195,51.1795,1116.7461,0.047,0.0063,673,0.0995,0.0977,0.5754,4,0.1386,0
M-01196,45.7732,534.813,0.0236,0.0094,543,0.0952,0.0749,0.332,2,0.1377,0
M-01197,23.3563,812.0402,0.0317,0.0027,646,0.1279,0.0572,0.5002,7,0.1047,0
M-01198,57.2136,505.0878,0.0464,0.0031,522,0.0717,0.0484,0.4939,1,0.1206,0
M-01199,93.5237,1060.2629,0.031,0.0226,1500,0.2963,0.2516,0.95,4,0.0677,1
M-01200,58.7386,1167.9851,0.067,0.0098,822,0.1373,0.0861,0.5716,2,0.0024,0
M-01201,67.2391,551.6714,0.0526,0.011,694,0.1108,0.0484,0.4846,3,0.0696,0
M-01202,56.8211,934.6103,0.0669,0.0019,737,0.1425,0.0839,0.523,4,0.1403,0
M-01203,56.2939,918.9841,0.0479,0.0179,30,0.3265,0.1359,0.7641,4,0.2191,1
M-01204,33.8703,724.311,0.0772,0.0077,1785,0.0296,0.0799,0.4179,3,0.0198,0
M-01205,52.8456,50.0,0.034,0.0101,368,0.0678,0.1142,0.7029,6,0.1286,0
M-01206,52.1508,386.5192,0.0479,0.0027,920,0.1324,0.1194,0.6125,3,0.1098,0
M-01207,65.9591,1011.9294,0.04,0.0094,729,0.142,0.0846,0.6984,6,0.0052,0
M-01208,34.2552,335.2875,0.0122,0.0124,736,0.0093,0.0797,0.716,4,0.0279,0
M-01209,53.2873,1247.5828,0.0193,0.0119,957,0.0841,0.0823,0.8521,3,0.0358,0
M-01210,57.0507,992.7256,0.077,0.008,656,0.0138,0.0544,0.6146,5,0.0965,0
M-01211,58.5887,595.5803,0.079,0.0125,435,0.1091,0.0906,0.6947,6,0.1383,0
M-01212,37.6152,994.837,0.0634,0.0111,1143,0.016,0.0753,0.6913,1,0.1101,0
M-01213,38.5002,750.2262,0.0241,0.0136,565,0.0559,0.0741,0.7217,1,0.0912,0
M-01214,75.0419,717.3262,0.0468,0.0246,265,0.0652,0.1182,0.7102,10,0.2293,1
M-01215,47.6615,772.3184,0.0325,0.0133,1060,0.026,0.0998,0.5381,6,0.0731,0
M-01216,108.6336,411.2238,0.0645,0.0239,839,0.0967,0.0116,0.5004,8,0.1926,1
M-01217,34.1343,50.0,0.027,0.0124,1166,0.0627,0.03,0.5645,6,0.0736,0
M-01218,69.5492,1188.3364,0.0514,0.013,671,0.0361,0.0422,0.4955,5,0.0975,0
M-01219,57.8425,832.6277,0.0277,0.0072,541,0.0969,0.0529,0.4996,1,0.0253,0
M-01220,64.7859,1320.4547,0.0505,0.0057,1143,0.1456,0.111,0.4389,5,0.0778,1
M-01221,24.4612,992.0222,0.0297,0.0113,967,0.1444,0.0585,0.5314,4,0.0527,0
M-01222,53.2828,708.3509,0.1059,0.0038,254,0.3163,0.0234,0.703,3,0.0574,1
M-01223,36.2559,1280.9289,0.0742,0.0021,753,0.0047,0.1003,0.3628,7,0.0561,0
M-01224,51.6991,753.8845,0.0586,0.0025,417,0.0927,0.0377,0.6154,6,0.1026,0
M-01225,56.645,1004.8432,0.0322,0.0067,399,0.0147,0.0333,0.388,6,0.0857,0
M-01226,59.187,641.4552,0.0178,0.0087,747,0.1121,0.0657,0.4124,5,0.0119,0
M-01227,50.3585,859.7189,0.0719,0.0103,957,0.0552,0.0878,0.543,2,0.0665,0
M-01228,54.6095,887.8803,0.0451,0.0072,1291,0.0097,0.0685,0.4925,4,0.098,1
M-01229,40.0952,836.4631,0.0162,0.0086,449,0.1473,0.0497,0.7399,6,0.0119,0
M-01230,33.4021,1037.0221,0.0191,0.0104,733,0.1361,0.1069,0.5622,5,0.0832,0
M-01231,23.434,1094.7263,0.0431,0.0025,462,0.1205,0.084,0.6379,5,0.0626,0
M-01232,31.8554,509.8509,0.0278,0.007,943,0.1155,0.0446,0.3158,4,0.0532,0
M-01233,82.2456,1111.9545,0.0864,0.0216,635,0.1086,0.1514,0.4201,3,0.2212,1
M-01234,39.0445,378.7356,0.0356,0.0132,1274,0.0882,0.0876,0.594,7,0.1002,0
M-01235,67.553,533.5887,0.0154,0.0084,159,0.1155,0.0936,0.6145,4,0.1438,0
M-01236,43.7314,538.2666,0.0697,0.0039,747,0.1368,0.0614,0.4975,4,0.0209,0
M-01237,67.3899,922.9275,0.0185,0.0083,313,0.092,0.0787,0.3365,2,0.1171,0
M-01238,48.8908,267.5297,0.0363,0.0109,708,0.0035,0.0813,0.6719,3,0.1372,0
M-01239,9.3627,1344.0316,0.1022,0.0217,483,0.0614,0.0599,0.4267,9,0.1804,1
M-01240,28.5384,1285.8267,0.0559,0.0031,1127,0.0686,0.0662,0.6617,5,0.097,0
M-01241,43.5968,1101.3293,0.0242,0.0082,656,0.1226,0.041,0.5169,1,0.1469,0
M-01242,58.9724,566.4262,0.0607,0.0047,667,0.2389,0.097,0.4807,3,0.0977,1
M-01243,60.3061,291.4565,0.0432,0.0212,976,0.2791,0.0403,0.4372,8,0.2026,1
M-01244,57.9454,490.4824,0.0157,0.0124,870,0.005,0.0866,0.3813,1,0.1151,0
M-01245,53.4982,814.1141,0.0325,0.0011,1009,0.0614,0.0689,0.5086,6,0.0352,0
M-01246,80.3541,1327.4201,0.0106,0.0044,319,0.0638,0.0294,0.8338,1,0.1419,0
M-01247,54.0289,257.211,0.0675,0.0136,525,0.0398,0.0781,0.6428,6,0.0649,0
M-01248,27.4292,987.1973,0.0169,0.0043,1289,0.0527,0.1158,0.5378,5,0.1279,0
M-01249,20.1957,714.446,0.0985,0.0161,497,0.1499,0.1662,0.6286,11,0.0744,0
M-01250,28.9156,510.0794,0.0624,0.0245,30,0.069,0.0493,0.7582,11,0.1374,1
M-01251,104.0543,1181.5374,0.081,0.0104,119,0.1474,0.0762,0.589,7,0.3071,1
M-01252,52.9158,810.7223,0.0794,0.0038,476,0.0272,0.0517,0.4687,4,0.086,1
M-01253,44.0055,861.0348,0.0135,0.0112,958,0.0807,0.1062,0.5172,5,0.0111,0
M-01254,33.7126,875.3581,0.0171,0.0066,942,0.098,0.1118,0.4785,1,0.0877,0
M-01255,53.3568,979.665,0.0752,0.0109,702,0.0703,0.0594,0.4795,5,0.0615,0
M-01256,32.3918,612.7687,0.0713,0.0028,928,0.0767,0.077,0.5192,2,0.061,0
M-01257,46.0323,1503.5687,0.011,0.0052,732,0.1059,0.116,0.5014,5,0.1329,0
M-01258,35.5261,955.1111,0.0695,0.0148,447,0.0386,0.0935,0.4232,6,0.0983,0
M-01259,35.1559,649.8433,0.0511,0.0074,497,0.0594,0.0846,0.387,5,0.0921,0
M-01260,51.2922,1312.0972,0.0173,0.004,529,0.016,0.0502,0.3564,3,0.0827,0
M-01261,47.2816,1413.9624,0.0135,0.0062,863,0.1202,0.0819,0.4898,5,0.0621,0
M-01262,49.008,491.0003,0.0642,0.0092,1099,0.1053,0.0373,0.8844,5,0.0955,0
M-01263,57.0093,1031.5566,0.034,0.0033,175,0.1807,0.1806,0.748,6,0.0621,1
M-01264,63.9889,1073.5453,0.015,0.0055,124,0.0895,0.0587,0.2988,5,0.0434,0
M-01265,75.6592,879.6801,0.0699,0.0041,223,0.0836,0.1292,0.3133,5,0.0895,0
M-01266,40.9121,1057.9653,0.0615,0.0091,946,0.1243,0.0993,0.3641,6,0.0658,0
M-01267,66.447,1328.2534,0.0589,0.0113,532,0.0914,0.0997,0.8881,6,0.0241,0
M-01268,53.2309,984.9482,0.0169,0.0129,1038,0.0721,0.0543,0.667,7,0.1408,0
M-01269,54.4548,923.0591,0.0201,0.0044,335,0.0866,0.0813,0.5853,5,0.136,0
M-01270,33.3414,1057.8307,0.0723,0.0073,268,0.0433,0.039,0.8078,6,0.0332,0
M-01271,51.1401,616.2942,0.0417,0.0031,1202,0.0637,0.0494,0.4083,5,0.0259,0
